Designator,Mid X,Mid Y,Layer,Rotation
C1,27.0000,-25.5000,Top,90
C2,70.3500,-56.5000,Top,0
C3,91.3500,-56.5000,Top,0
C4,49.3500,-56.5000,Top,0
C5,59.8500,-56.5000,Top,0
C6,80.8500,-56.5000,Top,0
C7,38.8500,-56.5000,Top,0
C8,92.7000,-38.3000,Top,0
C9,102.1000,-38.3000,Top,0
C10,64.7000,-38.3000,Top,0
C11,72.7000,-38.3000,Top,0
C12,82.7000,-38.3000,Top,0
C13,56.5000,-38.3000,Top,0
C14,104.1400,-23.5900,Top,270
C15,104.1380,-35.0950,Top,270
C16,104.1375,-52.5950,Top,270
C17,74.8500,-52.7000,Top,0
C18,101.8375,-51.0550,Top,90
C19,39.8375,-47.0550,Top,90
C20,109.7950,-54.0000,Top,0
C21,45.2000,-52.0000,Top,0
C22,27.7000,-19.0100,Top,180
C23,79.4500,-38.8000,Top,0
C24,52.7500,-38.8000,Top,0
C26,51.5000,-17.8000,Top,180
C27,27.0000,-58.0000,Top,0
C28,83.0000,-17.0000,Top,90
C29,63.7000,-20.6500,Top,90
C30,27.2000,-16.5000,Top,180
C31,51.5000,-14.8000,Top,90
D1,65.0000,-15.2000,Top,90
D2,68.7500,-15.2000,Top,90
J2,76.0000,-15.2209,Top,180
LED1,97.5000,-15.5000,Top,90
LED2,101.0000,-15.5000,Top,90
R1,27.0000,-22.0000,Top,90
R2,27.0000,-29.1000,Top,90
R3,78.0000,-22.6000,Top,90
R4,74.2500,-22.6000,Top,90
R5,51.5000,-22.0000,Top,90
R6,51.5000,-26.0000,Top,90
R9,112.8000,-52.5000,Top,90
R10,74.8500,-46.2000,Top,0
R11,100.5000,-40.8000,Top,90
R12,48.0000,-41.5000,Top,90
R13,100.5000,-44.0000,Top,90
R14,48.0000,-45.5000,Top,90
R15,100.5000,-47.2000,Top,90
R16,48.0000,-49.5000,Top,90
R17,74.8500,-44.2000,Top,0
R18,98.5000,-18.6000,Top,90
R19,101.0000,-18.6000,Top,90
R20,74.0000,-55.8000,Top,0
SW1,87.0000,-15.5000,Top,0
SW2,94.0000,-15.5000,Top,0
U1,72.5000,-61.3000,Top,0
U2,93.5000,-61.3000,Top,0
U3,51.5000,-61.3000,Top,0
U4,62.0000,-61.3000,Top,0
U5,83.0000,-61.3000,Top,0
U6,41.0000,-61.3000,Top,0
U7,89.0000,-33.5000,Top,180
U8,98.4000,-33.5000,Top,180
U9,61.0000,-33.5000,Top,180
U10,69.0000,-33.5000,Top,180
U11,79.0000,-33.5000,Top,180
U12,52.8000,-33.5000,Top,180
U13,88.2000,-47.5000,Top,0
U14,61.5000,-47.5000,Top,0
U15,107.0000,-19.0000,Top,90
U16,106.4500,-30.5000,Top,90
U17,107.0000,-48.0000,Top,90
U18,74.8675,-50.0000,Top,270
U19,101.0175,-54.0000,Top,270
U20,39.0175,-50.0000,Top,270
U21,106.5000,-54.0000,Top,270
U22,43.0000,-50.0000,Top,270
U23,39.2000,-26.6510,Top,0
U25,58.0000,-15.2000,Top,180
