Designator,Mid X,Mid Y,Layer,Rotation
C1,27.000000,-25.500000,Top,90.000000
C2,70.350000,-56.500000,Top,0.000000
C3,91.350000,-56.500000,Top,0.000000
C4,49.350000,-56.500000,Top,0.000000
C5,59.850000,-56.500000,Top,0.000000
C6,80.850000,-56.500000,Top,0.000000
C7,38.850000,-56.500000,Top,0.000000
C8,92.700000,-38.300000,Top,0.000000
C9,102.100000,-38.300000,Top,0.000000
C10,64.700000,-38.300000,Top,0.000000
C11,72.700000,-38.300000,Top,0.000000
C12,82.700000,-38.300000,Top,0.000000
C13,56.500000,-38.300000,Top,0.000000
C14,104.140000,-23.590000,Top,-90.000000
C15,104.138000,-35.095000,Top,-90.000000
C16,104.137500,-52.595000,Top,-90.000000
C17,74.850000,-52.700000,Top,0.000000
C18,101.837500,-51.055000,Top,90.000000
C19,39.837500,-47.055000,Top,90.000000
C20,109.795000,-54.000000,Top,0.000000
C21,45.200000,-52.000000,Top,0.000000
C22,27.700000,-19.009999,Top,180.000000
C23,79.450000,-38.800000,Top,0.000000
C24,52.750000,-38.800000,Top,0.000000
C26,51.500000,-17.800000,Top,180.000000
C27,27.000000,-58.000000,Top,0.000000
C28,83.000000,-17.000000,Top,90.000000
C29,63.700000,-20.650000,Top,90.000000
C30,27.200000,-16.500000,Top,180.000000
C31,51.500000,-14.800000,Top,90.000000
D1,65.000000,-15.200000,Top,90.000000
D2,68.750000,-15.200000,Top,90.000000
J2,76.000000,-13.650000,Top,180.000000
LED1,97.500000,-15.500000,Top,90.000000
LED2,101.000000,-15.500000,Top,90.000000
R1,27.000000,-22.000000,Top,90.000000
R2,27.000000,-29.100000,Top,90.000000
R3,78.000000,-22.600000,Top,90.000000
R4,74.250000,-22.600000,Top,90.000000
R5,51.500000,-22.000000,Top,90.000000
R6,51.500000,-26.000000,Top,90.000000
R9,112.800000,-52.500000,Top,90.000000
R10,74.850000,-46.200000,Top,0.000000
R11,100.500000,-40.800000,Top,90.000000
R12,48.000000,-41.500000,Top,90.000000
R13,100.500000,-44.000000,Top,90.000000
R14,48.000000,-45.500000,Top,90.000000
R15,100.500000,-47.200000,Top,90.000000
R16,48.000000,-49.500000,Top,90.000000
R17,74.850000,-44.200000,Top,0.000000
R18,98.500000,-18.600000,Top,90.000000
R19,101.000000,-18.600000,Top,90.000000
R20,74.000000,-55.800000,Top,0.000000
SW1,87.000000,-15.500000,Top,0.000000
SW2,94.000000,-15.500000,Top,0.000000
U1,72.500000,-61.300000,Top,90.000000
U2,93.500000,-61.300000,Top,90.000000
U3,51.500000,-61.300000,Top,90.000000
U4,62.000000,-61.300000,Top,90.000000
U5,83.000000,-61.300000,Top,90.000000
U6,41.000000,-61.300000,Top,90.000000
U7,89.000000,-33.500000,Top,-90.000000
U8,98.400000,-33.500000,Top,-90.000000
U9,61.000000,-33.500000,Top,-90.000000
U10,69.000000,-33.500000,Top,-90.000000
U11,79.000000,-33.500000,Top,-90.000000
U12,52.800000,-33.500000,Top,-90.000000
U13,88.200000,-47.500000,Top,90.000000
U14,61.500000,-47.500000,Top,90.000000
U15,107.000000,-19.000000,Top,180.000000
U16,106.450000,-30.500000,Top,180.000000
U17,107.000000,-48.000000,Top,180.000000
U18,74.850000,-50.000000,Top,0.000000
U19,101.000000,-54.000000,Top,0.000000
U20,39.000000,-50.000000,Top,0.000000
U21,106.500000,-54.000000,Top,0.000000
U22,43.000000,-50.000000,Top,0.000000
U23,39.200000,-23.000000,Top,0.000000
U25,58.000000,-15.200000,Top,0.000000
