Designator,LCSC Part #,Status,Matched Pads,KiCad Physical Pads,EasyEDA Physical Pads,Pin-map Issues,RMS Residual mm,Current X,Current Y,Current Rotation,Candidate X,Candidate Y,Candidate Rotation,Corrected X,Corrected Y,Corrected Rotation,Delta X mm,Delta Y mm,Delta Rotation,Override Evidence,Error
C1,C388002,PASS,2,2,2,,0.0750,27.000000,-25.500000,90.000000,27.0000,-25.5000,90,27.0000,-25.5000,90,+0.0000,+0.0000,0,,
C2,C14663,PASS,2,2,2,,0.0750,70.350000,-56.500000,0.000000,70.3500,-56.5000,0,70.3500,-56.5000,0,+0.0000,+0.0000,0,,
C3,C14663,PASS,2,2,2,,0.0750,91.350000,-56.500000,0.000000,91.3500,-56.5000,0,91.3500,-56.5000,0,+0.0000,+0.0000,0,,
C4,C14663,PASS,2,2,2,,0.0750,49.350000,-56.500000,0.000000,49.3500,-56.5000,0,49.3500,-56.5000,0,+0.0000,+0.0000,0,,
C5,C14663,PASS,2,2,2,,0.0750,59.850000,-56.500000,0.000000,59.8500,-56.5000,0,59.8500,-56.5000,0,+0.0000,+0.0000,0,,
C6,C14663,PASS,2,2,2,,0.0750,80.850000,-56.500000,0.000000,80.8500,-56.5000,0,80.8500,-56.5000,0,+0.0000,+0.0000,0,,
C7,C14663,PASS,2,2,2,,0.0750,38.850000,-56.500000,0.000000,38.8500,-56.5000,0,38.8500,-56.5000,0,+0.0000,+0.0000,0,,
C8,C14663,PASS,2,2,2,,0.0750,92.700000,-38.300000,0.000000,92.7000,-38.3000,0,92.7000,-38.3000,0,+0.0000,+0.0000,0,,
C9,C14663,PASS,2,2,2,,0.0750,102.100000,-38.300000,0.000000,102.1000,-38.3000,0,102.1000,-38.3000,0,+0.0000,+0.0000,0,,
C10,C14663,PASS,2,2,2,,0.0750,64.700000,-38.300000,0.000000,64.7000,-38.3000,0,64.7000,-38.3000,0,+0.0000,+0.0000,0,,
C11,C14663,PASS,2,2,2,,0.0750,72.700000,-38.300000,0.000000,72.7000,-38.3000,0,72.7000,-38.3000,0,+0.0000,+0.0000,0,,
C12,C14663,PASS,2,2,2,,0.0750,82.700000,-38.300000,0.000000,82.7000,-38.3000,0,82.7000,-38.3000,0,+0.0000,+0.0000,0,,
C13,C14663,PASS,2,2,2,,0.0750,56.500000,-38.300000,0.000000,56.5000,-38.3000,0,56.5000,-38.3000,0,+0.0000,+0.0000,0,,
C14,C14663,PASS,2,2,2,,0.0750,104.140000,-23.590000,-90.000000,104.1400,-23.5900,270,104.1400,-23.5900,270,+0.0000,+0.0000,0,,
C15,C14663,PASS,2,2,2,,0.0750,104.138000,-35.095000,-90.000000,104.1380,-35.0950,270,104.1380,-35.0950,270,+0.0000,+0.0000,0,,
C16,C14663,PASS,2,2,2,,0.0750,104.137500,-52.595000,-90.000000,104.1375,-52.5950,270,104.1375,-52.5950,270,+0.0000,+0.0000,0,,
C17,C14663,PASS,2,2,2,,0.0750,74.850000,-52.700000,0.000000,74.8500,-52.7000,0,74.8500,-52.7000,0,+0.0000,+0.0000,0,,
C18,C14663,PASS,2,2,2,,0.0750,101.837500,-51.055000,90.000000,101.8375,-51.0550,90,101.8375,-51.0550,90,+0.0000,+0.0000,0,,
C19,C14663,PASS,2,2,2,,0.0750,39.837500,-47.055000,90.000000,39.8375,-47.0550,90,39.8375,-47.0550,90,+0.0000,+0.0000,0,,
C20,C14663,PASS,2,2,2,,0.0750,109.795000,-54.000000,0.000000,109.7950,-54.0000,0,109.7950,-54.0000,0,+0.0000,+0.0000,0,,
C21,C14663,PASS,2,2,2,,0.0750,45.200000,-52.000000,0.000000,45.2000,-52.0000,0,45.2000,-52.0000,0,+0.0000,+0.0000,0,,
C22,C14663,PASS,2,2,2,,0.0750,27.700000,-19.009999,180.000000,27.7000,-19.0100,180,27.7000,-19.0100,180,+0.0000,+0.0000,0,,
C23,C14663,PASS,2,2,2,,0.0750,79.450000,-38.800000,0.000000,79.4500,-38.8000,0,79.4500,-38.8000,0,+0.0000,+0.0000,0,,
C24,C14663,PASS,2,2,2,,0.0750,52.750000,-38.800000,0.000000,52.7500,-38.8000,0,52.7500,-38.8000,0,+0.0000,+0.0000,0,,
C26,C15850,PASS,2,2,2,,0.0500,51.500000,-17.800000,180.000000,51.5000,-17.8000,180,51.5000,-17.8000,180,+0.0000,+0.0000,0,,
C27,C15850,PASS,2,2,2,,0.0500,27.000000,-58.000000,0.000000,27.0000,-58.0000,0,27.0000,-58.0000,0,+0.0000,+0.0000,0,,
C28,C15850,PASS,2,2,2,,0.0500,83.000000,-17.000000,90.000000,83.0000,-17.0000,90,83.0000,-17.0000,90,+0.0000,+0.0000,0,,
C29,C15850,PASS,2,2,2,,0.0500,63.700000,-20.650000,90.000000,63.7000,-20.6500,90,63.7000,-20.6500,90,+0.0000,+0.0000,0,,
C30,C15850,PASS,2,2,2,,0.0500,27.200000,-16.500000,180.000000,27.2000,-16.5000,180,27.2000,-16.5000,180,+0.0000,+0.0000,0,,
C31,C45783,PASS,2,2,2,,0.0500,51.500000,-14.800000,90.000000,51.5000,-14.8000,90,51.5000,-14.8000,90,+0.0000,+0.0000,0,,
D1,C8678,PASS_OVERRIDE,2,2,2,,0.1999,65.000000,-15.200000,90.000000,65.0000,-15.2000,90,65.0000,-15.2000,90,+0.0000,+0.0000,0,Ported exact SMA package mapping from the JLCPCB-reviewed NES release: cathode bar and both terminals overlapped the footprint. Reconfirm current preview.,
D2,C8678,PASS_OVERRIDE,2,2,2,,0.1999,68.750000,-15.200000,90.000000,68.7500,-15.2000,90,68.7500,-15.2000,90,+0.0000,+0.0000,0,Ported exact SMA package mapping from the JLCPCB-reviewed NES release: cathode bar and both terminals overlapped the footprint. Reconfirm current preview.,
J2,C165948,PASS_OVERRIDE,16,20,20,"KiCad-only pad names ['SH']; EasyEDA-only pad names ['1', '2', '3', '4']",0.0353,76.000000,-13.650000,180.000000,76.0000,-15.2209,180,76.0000,-15.2209,180,+0.0000,-1.5709,0,"Ported exact HRO package-origin mapping from the JLCPCB-reviewed NES release: supplier origin is 1.5709 mm inward from KiCad; connector mouth, signal pads, and four shell anchors were verified. Reconfirm current preview.",
LED1,C89814,PASS,2,2,2,,0.0385,97.500000,-15.500000,90.000000,97.5000,-15.5000,90,97.5000,-15.5000,90,-0.0000,+0.0000,0,,
LED2,C87326,PASS,2,2,2,,0.0385,101.000000,-15.500000,90.000000,101.0000,-15.5000,90,101.0000,-15.5000,90,-0.0000,+0.0000,0,,
R1,C177644,PASS,2,2,2,,0.0716,27.000000,-22.000000,90.000000,27.0000,-22.0000,90,27.0000,-22.0000,90,+0.0000,+0.0000,0,,
R2,C177644,PASS,2,2,2,,0.0716,27.000000,-29.100000,90.000000,27.0000,-29.1000,90,27.0000,-29.1000,90,+0.0000,+0.0000,0,,
R9,C177644,PASS,2,2,2,,0.0716,112.800000,-52.500000,90.000000,112.8000,-52.5000,90,112.8000,-52.5000,90,+0.0000,+0.0000,0,,
R10,C177644,PASS,2,2,2,,0.0716,74.850000,-46.200000,0.000000,74.8500,-46.2000,0,74.8500,-46.2000,0,+0.0000,+0.0000,0,,
R11,C177644,PASS,2,2,2,,0.0716,100.500000,-40.800000,90.000000,100.5000,-40.8000,90,100.5000,-40.8000,90,+0.0000,+0.0000,0,,
R12,C177644,PASS,2,2,2,,0.0716,48.000000,-41.500000,90.000000,48.0000,-41.5000,90,48.0000,-41.5000,90,+0.0000,+0.0000,0,,
R13,C177644,PASS,2,2,2,,0.0716,100.500000,-44.000000,90.000000,100.5000,-44.0000,90,100.5000,-44.0000,90,+0.0000,+0.0000,0,,
R14,C177644,PASS,2,2,2,,0.0716,48.000000,-45.500000,90.000000,48.0000,-45.5000,90,48.0000,-45.5000,90,+0.0000,+0.0000,0,,
R15,C177644,PASS,2,2,2,,0.0716,100.500000,-47.200000,90.000000,100.5000,-47.2000,90,100.5000,-47.2000,90,+0.0000,+0.0000,0,,
R16,C177644,PASS,2,2,2,,0.0716,48.000000,-49.500000,90.000000,48.0000,-49.5000,90,48.0000,-49.5000,90,+0.0000,+0.0000,0,,
R17,C177644,PASS,2,2,2,,0.0716,74.850000,-44.200000,0.000000,74.8500,-44.2000,0,74.8500,-44.2000,0,+0.0000,+0.0000,0,,
R3,C269716,PASS,2,2,2,,0.0716,78.000000,-22.600000,90.000000,78.0000,-22.6000,90,78.0000,-22.6000,90,+0.0000,+0.0000,0,,
R4,C269716,PASS,2,2,2,,0.0716,74.250000,-22.600000,90.000000,74.2500,-22.6000,90,74.2500,-22.6000,90,+0.0000,+0.0000,0,,
R5,C25803,PASS,2,2,2,,0.0716,51.500000,-22.000000,90.000000,51.5000,-22.0000,90,51.5000,-22.0000,90,+0.0000,+0.0000,0,,
R6,C25803,PASS,2,2,2,,0.0716,51.500000,-26.000000,90.000000,51.5000,-26.0000,90,51.5000,-26.0000,90,+0.0000,+0.0000,0,,
R18,C21190,PASS,2,2,2,,0.0716,98.500000,-18.600000,90.000000,98.5000,-18.6000,90,98.5000,-18.6000,90,+0.0000,+0.0000,0,,
R19,C21190,PASS,2,2,2,,0.0716,101.000000,-18.600000,90.000000,101.0000,-18.6000,90,101.0000,-18.6000,90,+0.0000,+0.0000,0,,
R20,C217278,PASS_OVERRIDE,0,2,0,"KiCad-only pad names ['1', '2']",,74.000000,-55.800000,0.000000,,,,74.0000,-55.8000,0,+0.0000,+0.0000,0,"Exact C217278 has no EasyEDA package data; official LCSC listing identifies symmetric 2-pad 0603 0 ohm package, and KiCad footprint/pad signature matches the already calibrated 0603 resistor family. Reconfirm current preview.",
